config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
66,train,102,20414,263,128,8,1.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9984319523499318
67,train,103,652,3422,612,2,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9765619113919151
67,train,103,652,3422,612,2,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9758931617709787
67,train,103,652,3422,612,2,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,0.0
68,train,27,5012,1450,533,4,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9982914275249434
68,train,27,5012,1450,533,4,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9982837776631392
68,train,27,5012,1450,533,4,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-9.874712670568163e-06
69,train,49,297,3648,20,8,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.6396351168354842
69,train,49,297,3648,20,8,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.6386422707783235
69,train,49,297,3648,20,8,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.5477249536477652
70,train,90,737,2796,112,32,2.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.7195918035782587
70,train,90,737,2796,112,32,2.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.719332579257684
70,train,90,737,2796,112,32,2.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.4184666396297521
71,train,53,2798,678,21,16,2.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.3534353359751615
71,train,53,2798,678,21,16,2.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.7625136811135927
71,train,53,2798,678,21,16,2.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,0.5466357127762613
72,train,109,796,75,17,32,32.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.7491691397427233
72,train,109,796,75,17,32,32.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.7649182025324338
72,train,109,796,75,17,32,32.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.997337399045129
73,train,103,41122,522,1067,16,1.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.35431462340668196
73,train,103,41122,522,1067,16,1.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.3543138062201025
73,train,103,41122,522,1067,16,1.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.023686044030035415
74,train,126,6629,412,1500,32,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,3.0575353526601656
74,train,126,6629,412,1500,32,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,2.5287371077742735
74,train,126,6629,412,1500,32,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.060124409834046134
75,train,16,13192,489,38,2,1.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9846053922028416
75,train,16,13192,489,38,2,1.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.984085544417388
